cpu_usage,ram_usage,disk_usage,running_processes,network_sent,network_recv,gpu_usage,temperature,state
4.0,93.3,85.2,258,12663680,195297834,9.48346286532178,48.86281703473088,malicious
7.3,94.1,85.2,259,12663993,195297973,75.29888758263327,51.05148361785653,malicious
47.4,93.9,85.2,259,12664249,195298263,45.627918817202996,64.83357789086459,malicious
40.1,93.9,85.2,259,12665079,195298468,65.24048278798223,48.618798061320504,malicious
40.4,94.1,85.2,259,12668198,195304405,57.01960321672593,67.395033587666,malicious
42.2,93.9,85.2,259,12668252,195304459,96.40501773519901,38.151505215364374,malicious
54.5,93.6,85.2,259,12668252,195304459,87.81369276547825,76.79291717944031,malicious
52.2,93.5,85.2,258,12668252,195304459,74.76001998442109,79.68658703780082,malicious
52.9,93.6,85.2,258,12668521,195304835,53.194300566953444,61.115785386277,malicious
48.9,93.6,85.2,258,12668577,195304891,44.713264458740376,49.37609901625905,malicious
46.3,91.9,85.2,259,12668667,195304945,97.88622625832272,69.13498263243179,malicious
38.8,92.1,85.2,259,12668914,195305084,64.50541271423123,56.16134108518387,malicious
42.1,92.1,85.2,259,12669266,195305828,91.38117896267293,51.77813244425708,malicious
77.3,93.3,85.2,259,12669678,195306186,71.44088107080682,63.477352433466876,malicious
18.4,92.9,85.2,259,12669753,195306382,9.21124106877027,53.20104559605825,malicious
26.3,93.0,85.2,259,12669807,195306436,62.17700534007919,72.82685875001067,malicious
72.0,93.8,85.2,259,12670029,195306436,21.803279505897986,53.71867794632435,malicious
28.0,93.1,85.2,259,12670399,195306436,69.11729770560567,30.301938844304715,malicious
25.1,93.2,85.2,259,12670743,195306814,24.694051143250473,47.23122924381373,malicious
19.9,93.1,85.2,259,12670903,195306892,88.00605546194396,78.48195326846138,malicious
32.6,93.2,85.2,259,12670958,195306958,51.25790232436237,70.4158364072297,malicious
57.4,93.3,85.2,259,12671439,195307345,58.39881882261471,53.26440425619599,malicious
69.6,94.2,85.2,259,12671439,195307445,65.84029014761889,52.088050100852456,malicious
11.6,94.5,85.2,260,12676377,195314691,50.1356080090836,76.52983761139342,malicious
17.1,89.6,85.2,255,12722297,195377893,82.94742989410535,52.32834034389982,malicious
5.3,90.0,85.2,255,12722437,195378551,99.93991921105167,31.21388561051444,malicious
4.0,91.1,85.2,255,12729673,195389396,60.9538448717699,52.78747430851992,malicious
51.4,91.6,85.2,255,12733101,195395642,42.26063811796844,66.86991993348822,malicious
82.3,92.1,85.2,254,12733938,195396441,50.84492737184617,71.85310152347574,malicious
56.6,92.2,85.2,253,12734012,195396661,60.990818630735745,76.42054488241033,malicious
51.4,92.2,85.2,253,12734012,195396661,4.489614072820847,46.10851877738683,malicious
50.4,92.2,85.2,253,12736683,195403650,8.47016123768527,70.23686208659825,malicious
48.0,92.0,85.2,253,12740080,195409317,89.13999334040683,66.08061505860508,malicious
55.5,92.0,85.2,253,12740275,195409566,86.80654516700874,67.03574340109805,malicious
39.8,92.0,85.2,253,12740583,195409942,11.20862203875923,44.90306427132948,malicious
50.3,91.9,85.2,252,12740657,195409942,1.2411399911063437,33.224646161423834,malicious
48.5,91.7,85.2,252,12740880,195410102,85.57020960633615,51.28351158399599,malicious
48.9,91.7,85.2,252,12741069,195410288,73.47924298809345,50.903244411169176,malicious
68.8,91.7,85.2,252,12741575,195410892,71.55482722015812,41.454148644685034,malicious
63.3,91.9,85.2,252,12741575,195411150,42.6115274252424,69.95810351729929,malicious
60.6,92.8,85.2,252,12752457,195413765,4.334446864053376,68.81237521469843,malicious
50.0,92.8,85.2,252,12752704,195414140,63.696276983940905,37.381823016336945,malicious
57.6,93.0,85.2,252,12768641,195439036,58.23880372296338,57.55466396015629,malicious
37.9,92.8,85.2,252,12769173,195439664,0.9142423881232764,33.95428266119048,malicious
45.3,93.0,85.2,252,12769530,195440194,81.386395044377,57.54321835183045,malicious
43.0,92.9,85.2,252,12769697,195440437,54.589395289803875,76.17428127670254,malicious
40.6,92.7,85.2,252,12769697,195440437,21.443658012558576,39.65609296906305,malicious
47.4,92.9,85.2,252,12769697,195440437,76.36920594312447,40.147687635014705,malicious
40.1,92.8,85.2,252,12770149,195440947,86.63569796945299,75.48738687143882,malicious
41.8,92.8,85.2,252,12770269,195441114,27.275481912728416,44.29405794224799,malicious
